Provincia,Unnamed: 1,Localidad,ADSL,CABLEMODEM,Unnamed: 5,FIBRAOPTICA,4G,3G,Unnamed: 9,WIRELESS,Unnamed: 11
0,Tigre,El Talar,0,0,--,SI,0,0,SI,SI,SI
BUENOS AIRES,Tigre,General Pacheco,0,SI,--,SI,0,SI,SI,0,SI
BUENOS AIRES,0,0,SI,SI,0,0,SI,SI,0,--,SI
BUENOS AIRES,0,Nordelta,--,SI,0,SI,SI,SI,0,--,0
0,Ñorquincó,Mamuel Choique,0,0,--,SI,0,0,SI,--,--
0,Ñorquincó,Ñorquincó,--,0,--,--,--,0,SI,0,SI
0,Ñorquincó,Ojos de Agua,--,0,--,--,--,0,SI,--,0
BUENOS AIRES,Tigre,Ricardo Rojas,0,SI,--,SI,0,SI,SI,--,--
BUENOS AIRES,0,0,SI,SI,0,SI,SI,SI,0,0,--
BUENOS AIRES,Tigre,0,SI,SI,--,0,SI,SI,SI,SI,SI
BUENOS AIRES,Tordillo,General Conesa,0,SI,--,--,0,SI,SI,SI,0
0,Tordillo,Villa Roch,0,0,--,--,0,0,--,SI,0
0,Tornquist,Chasicó,0,0,--,--,0,0,SI,0,--
0,Tornquist,Saldungaray,SI,0,--,--,SI,0,SI,--,--
BUENOS AIRES,0,0,--,SI,0,0,SI,SI,0,--,0
RIO NEGRO,0,Río Chico (Est Cerro Mesa),--,--,0,--,--,--,0,--,SI
RIO NEGRO,0,0,--,--,0,0,--,--,0,--,--
BUENOS AIRES,Cañuelas,0,SI,SI,SI,0,SI,SI,SI,0,--
