Codigo;Persona
660902;13341
660903;94
660904;477
660905;255
660906;1285
660907;116
660908;32
660909;2276
660910;1523
660911;108
660912;84
660913;423
660914;92
660915;225
660916;104
660917;1957
660918;46
660919;8260
661601;727
661602;41
661603;5119
662301;10833
662302;6487
662303;6908
662304;9154
662305;10167
662306;39
662307;1298
662308;213
662309;934
662310;75
662311;1153
662312;53
662313;32
662314;1766
662315;298
662316;1208
662317;104
662318;1087
662319;70
662320;12878
662321;2491
662322;8619
662323;1555
662324;139
662325;1044
662326;150
662327;467
662328;14138
662329;11230
663001;311
663002;2540
663003;131
663004;118
663005;184
663006;356
663801;20960
663802;15676
663803;18598
663804;14380
663805;11585
663806;20374
663807;13975
663808;10776
663809;16563
663810;15309
663811;15361
663812;7255
663813;20270
663814;11159
663815;17189
663816;10012
663817;10646
663818;14009
663819;6438
663820;5837
663821;3101
663822;16399
663823;3205
664401;1373
664402;1812
664403;3883
664404;1073
664405;5908
664406;11679
664801;23436
664802;15845
664803;17077
664804;6353
664805;18430
665101;4900
665102;35
665103;86
665104;161
665105;5583
665106;191
665107;2061
665108;1141
665109;64
665110;198
665111;72
665112;69
665113;1182
665501;491
665502;4746
665503;4651
666501;1772
666502;7070
666503;6405
666504;674
666505;198
666506;43
666507;100
666508;39
666509;88
666510;4711
666511;71
666512;2
666513;11869
667201;153
667202;86
667203;93
667204;236
667205;80
667206;71
667207;160
667208;68
667209;111
667210;94
667211;134
667212;13435
667213;118
667214;337
667901;660
667902;72
667903;1714
667904;137
667905;126
667906;10916
667907;65
667908;139
667909;1377
667910;1232
667911;228
667912;477
668601;8147
668602;1265
668603;218
668604;49
668605;68
668606;2156
668607;268
668608;185
668609;69
668610;178
668611;953
668612;100
668613;9776
669301;200
669302;242
669303;10940
669304;301
669305;117
669306;210
669307;503
670001;1405
670002;8800
670003;39
670004;73
670005;284
670006;3001
670007;678
670008;97
670009;51
670010;164
670011;51
670012;6106
670701;13702
670702;142
670703;240
670704;2833
670705;531
670706;2046
670707;150
670708;479
670709;444
670710;165
670711;11371
671401;13111
671402;206
671403;1799
671404;157
671405;1056
671406;14355
671407;248
671408;1362
671409;359
672101;842
672102;7802
672801;1175
672802;651
672803;186
672804;80
672805;110
672806;83
672807;206
672808;230
672809;1922
672810;15679
672811;205
672812;116
672813;617
672814;1397
672815;284
672816;86
673501;8653
673502;1106
673503;1670
673504;763
673505;89
673506;56
673507;10801
674201;54
674202;135
674203;77
674204;7433
674205;78
674206;20
674207;184
674208;88
674209;108
674210;222
676301;13410
676302;9014
676303;9041
676304;8762
676305;17335
676306;19005
676307;13284
676308;13523
676309;2164
676310;59
676311;2511
676312;541
676313;62
676314;939
676315;54
676316;1259
676317;9066
676318;12448
676319;4469
676320;8895
676321;16
677001;11256
677002;3022
677003;121
677004;87
677005;22
677006;38
677007;72
677008;152
677009;1138
677010;13070
677011;442
677012;2316
677013;309
677014;73
677015;94
677016;2525
677017;116
677018;696
677019;46
677020;38
677021;7550
677022;15776
677023;77
677801;8363
677802;15765
677803;165
677804;2822
677805;3335
677806;2431
677807;167
